iter	RMSE
484	569.4417982
485	569.4187254
486	569.3830403
487	569.3475233
488	569.3094377
489	569.283535
490	569.2499286
491	569.2189898
492	569.1852943
493	569.1377749
494	569.0869749
495	569.0576461
496	569.0199223
497	568.9769737
498	568.9337795
499	568.8747515
